Timestamp,pH,Conductivity (µS/cm),Chlorine (ppm),Status
2024-10-01 05:25:29,7.56,209.44,1.04,NORMAL
2024-10-01 05:40:29,7.57,209.91,1.04,NORMAL
2024-10-01 05:55:29,7.57,209.98,1.05,NORMAL
2024-10-01 06:10:29,7.58,209.65,1.05,NORMAL
2024-10-01 06:25:29,7.59,208.94,1.05,NORMAL
2024-10-01 06:40:29,7.59,207.87,1.05,NORMAL
2024-10-01 06:55:29,7.59,206.49,1.05,NORMAL
2024-10-01 07:10:29,7.6,204.85,1.05,NORMAL
2024-10-01 07:25:29,7.6,203.01,1.04,NORMAL
2024-10-01 07:40:29,7.6,243.5,1.04,ANOMALOUS
2024-10-01 07:55:29,7.6,199.06,1.04,NORMAL
2024-10-01 08:10:29,7.6,197.1,1.03,NORMAL
2024-10-01 08:25:29,7.6,195.26,1.03,NORMAL
2024-10-01 08:40:29,7.59,193.61,1.02,NORMAL
2024-10-01 08:55:29,7.59,192.21,1.01,NORMAL
2024-10-01 09:10:29,7.59,191.12,1.01,NORMAL
2024-10-01 09:25:29,7.58,190.38,1.0,NORMAL
2024-10-01 09:40:29,7.57,190.03,0.99,NORMAL
2024-10-01 09:55:29,7.57,190.08,0.98,NORMAL
2024-10-01 10:10:29,7.56,190.52,0.98,NORMAL
2024-10-01 10:25:29,7.55,191.34,0.97,NORMAL
2024-10-01 10:40:29,7.54,192.5,0.97,NORMAL
2024-10-01 10:55:29,7.53,193.97,0.96,NORMAL
2024-10-01 11:10:29,7.52,195.67,0.96,NORMAL
2024-10-01 11:25:29,7.51,197.55,0.95,NORMAL
2024-10-01 11:40:29,7.5,199.52,0.95,NORMAL
2024-10-01 11:55:29,7.49,201.52,0.95,NORMAL
2024-10-01 12:10:29,7.48,203.45,0.95,NORMAL
2024-10-01 12:25:29,7.47,205.25,0.95,NORMAL
2024-10-01 12:40:29,7.46,206.83,0.95,NORMAL
2024-10-01 12:55:29,7.45,208.15,1.34,ANOMALOUS
2024-10-01 13:10:29,7.45,209.14,0.71,ANOMALOUS
2024-10-01 13:25:29,7.44,209.76,0.96,NORMAL
2024-10-01 13:40:29,7.43,210.0,0.97,NORMAL
2024-10-01 13:55:29,7.42,209.84,0.97,NORMAL
2024-10-01 14:10:29,7.42,209.28,0.98,NORMAL
2024-10-01 14:25:29,7.41,208.36,0.99,NORMAL
2024-10-01 14:40:29,7.41,207.1,0.99,NORMAL
2024-10-01 14:55:29,7.4,205.56,1.0,NORMAL
2024-10-01 15:10:29,7.4,203.8,1.01,NORMAL
2024-10-01 15:25:29,7.4,201.88,1.02,NORMAL
2024-10-01 15:40:29,7.4,199.89,1.02,NORMAL
2024-10-01 15:55:29,7.4,197.91,1.03,NORMAL
2024-10-01 16:10:29,7.4,196.01,1.03,NORMAL
2024-10-01 16:25:29,7.4,119.47,1.04,ANOMALOUS
2024-10-01 16:40:29,7.41,192.75,1.5,ANOMALOUS
2024-10-01 16:55:29,7.41,191.53,1.05,NORMAL
2024-10-01 17:10:29,7.42,190.64,1.05,NORMAL
2024-10-01 17:25:29,7.42,190.13,1.05,NORMAL
2024-10-01 17:40:29,7.43,190.01,1.05,NORMAL
2024-10-01 17:55:29,7.44,190.29,1.05,NORMAL
2024-10-01 18:10:29,7.45,190.95,1.05,NORMAL
2024-10-01 18:25:29,7.46,191.98,1.04,NORMAL
2024-10-01 18:40:29,7.46,193.32,1.04,NORMAL
